Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms),Gehen mit Schritttempovorgabe – Dauer (ms)
17:30:00.000+05:30,17:45:00.000+05:30,3,25.556137047643574,150.6651559618254,,,,,,,0.6036686001342612,1.1091663837432861,0.2813192307949066,263,,,,,,180043,,
17:45:00.000+05:30,18:00:00.000+05:30,2,19.46209788125075,99.64253495974654,,,,,,,0.7981603649189706,1.2618610858917236,0.3014134466648102,177,,,,,,70340,,
18:00:00.000+05:30,18:15:00.000+05:30,5,20.573544132343645,150.93608474731445,,,,,,,0.5347061258441768,1.824381709098816,0.3014134466648102,247,,,,,,89297,,
18:15:00.000+05:30,18:30:00.000+05:30,,15.554686454598864,,,,,,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,1,16.496375810423764,33.56017180768955,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,72,,,,,,16952,,
18:45:00.000+05:30,19:00:00.000+05:30,4,29.033105134932164,254.92056397111904,2.0,2,,,,,1.0491647016041121,1.4448851346969604,0.40819862484931946,381,,,,,,242634,,
19:00:00.000+05:30,19:15:00.000+05:30,12,42.68197504385019,502.6743901633921,1.0,1,,,,,0.8141273469121164,1.2026067972183228,0.3014134466648102,806,,,,,,488337,,
19:15:00.000+05:30,19:30:00.000+05:30,6,24.04025511623893,216.677486095458,,,,,,,0.6670261182608702,1.0144462585449219,0.3443581163883209,349,,,,,,152754,,
19:30:00.000+05:30,19:45:00.000+05:30,,15.554686624563454,18.68763542175293,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,31,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,15.55468610243201,,,,,,,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,15.55468610243201,,,,,,,,,,,,,,,,,,,
