Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Intervalltraining mit hoher Intensität – Dauer (ms)
21:15:00.000+05:30,21:30:00.000+05:30,,15.554686510625052,,,,,,,,,,,12,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,15.554686510625052,,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,15.554686510625052,,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,15.554686510625052,,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,15.554686510625052,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.554686510625052,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.554686510625052,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,15.554686510625052,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,15.554686510625052,,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,1,15.554686510625052,31.9498291015625,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,53,,,,
23:45:00.000+05:30,00:00:00.000+05:30,1,20.7894583448552,,2.0,1,,,,,,,,,,,,85988
