Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms)
19:45:00.000+05:30,20:00:00.000+05:30,1,15.554686831920288,26.524385452270508,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,44,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,15.554686831920288,,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,7,15.554686831920288,300.242567853869,2.0,2,,,,,0.8788214787393096,1.5034650564193726,0.3014134466648102,460,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,15,15.554686831920288,968.8605115064807,11.0,11,,,,,1.0923959207265301,1.4284859895706177,0.4512011706829071,1456,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,13,15.554686831920288,753.8622028530513,5.0,5,,,,,0.9462293622744935,1.3756301403045654,0.29803043603897095,1170,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,14,15.554686831920288,969.6821430805214,13.0,13,,,,,1.1561090731235706,1.4244234561920166,0.9661839604377747,1459,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,2,15.554686831920288,54.25442695617676,,,,,,,0.5173699855804443,0.7333264946937561,0.30141347646713257,90,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,15.554686831920288,18.084808349609375,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,30,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,15.554686831920288,,,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,15.554686831920288,,,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,4,15.554686799398285,93.08458995819092,,,,,,,0.3517004916095618,1.100089192390442,0.30141347646713257,170,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.554686687466914,,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.554686687466914,,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,15.554686687466914,,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,15.554686687466914,,,,,,,,,,,15,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,15.554686687466914,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,15.554686687466914,,,,,,,,,,,,,,,,
