index,reps,words,phoneme
motown,5.0,motown,MW50
recordss,1.0,recordss,R632
tamla,3.0,tamla,T400
label,4.0,label,L400
marvin,1.0,marvin,M150
gaye,20.0,gaye,G000
struggling,10.0,struggling,S624
find,16.0,find,F300
identity,3.0,identity,I3Y0
music,24.0,music,M200
long,3.0,long,L200
admirer,4.0,admirer,A600
different,22.0,different,D165
forms,1.0,forms,F520
n,48.0,n,N000
roll,2.0,roll,R400
blues,5.0,blues,B200
jazz,8.0,jazz,J200
doowop,1.0,doowop,D100
sought,6.0,sought,SH30
mix,4.0,mix,M000
styles,2.0,styles,SY42
nat,3.0,nat,N000
king,1.0,king,K200
cole,9.0,cole,C000
billy,19.0,billy,B4Y0
eckstine,1.0,eckstine,E235
little,10.0,little,L340
willie,4.0,willie,W400
john,6.0,john,J500
jesse,2.0,jesse,J200
belvin,1.0,belvin,B150
getting,7.0,getting,G352
involved,1.0,involved,I413
groups,21.0,groups,G120
marquees,1.0,marquees,M200
joined,1.0,joined,J300
following,1.0,following,F4W5
honorable,2.0,honorable,H614
discharge,6.0,discharge,D2H6
tenure,17.0,tenure,T600
forces,10.0,forces,F200
soon,1.0,soon,S000
replaced,1.0,replaced,R423
harvey,8.0,harvey,H1Y0
fuquas,1.0,fuquas,F200
group,47.0,group,G100
moonglows,2.0,moonglows,M24W
moniker,1.0,moniker,M260
reese,1.0,reese,R000
palmer,2.0,palmer,P560
leads,4.0,leads,L200
take,54.0,take,T000
lead,10.0,lead,L000
vocal,1.0,vocal,V400
parts,14.0,parts,P320
including,2.0,including,I435
speaking,3.0,speaking,S252
intro,1.0,intro,I600
ending,9.0,ending,E520
single,1.0,single,S240
months,2.0,months,M3H2
year,2.0,year,Y000
sung,16.0,sung,S200
song,25.0,song,S200
mama,13.0,mama,M000
loochie,1.0,loochie,LH00
songs,16.0,songs,S200
released,1.0,released,R230
chess,30.0,chess,C200
period,15.0,period,P300
background,6.0,background,B265
notable,1.0,notable,N140
acts,3.0,acts,A200
chuck,1.0,chuck,C200
berry,13.0,berry,B6Y0
almost,20.0,almost,A230
grown,1.0,grown,GW50
etta,1.0,etta,E000
james,26.0,james,J200
chained,2.0,chained,C530
rocking,6.0,rocking,R252
chairafter,1.0,chairafter,C613
living,9.0,living,L520
chicago,8.0,chicago,C200
tour,5.0,tour,T000
detroit,2.0,detroit,D630
fuqua,4.0,fuqua,F000
split,3.0,split,S430
get,1.0,get,G000
musicallydeveloping,1.0,musicallydeveloping,M24Y
contract,3.0,contract,C362
triphi,2.0,triphi,T1H0
records,15.0,records,R632
assigned,3.0,assigned,A253
thengirlfriend,1.0,thengirlfriend,T526
gwen,6.0,gwen,G500
gordys,3.0,gordys,G3Y2
anna,5.0,anna,A000
would,4.0,would,W300
drumming,3.0,drumming,D520
notably,5.0,notably,N14Y
spinners,1.0,spinners,S562
debut,1.0,debut,D300
hit,12.0,hit,H000
thats,3.0,thats,T320
girls,20.0,girls,G420
made,1.0,made,M000
forin,1.0,forin,F500
december,1.0,december,D516
introduced,1.0,introduced,I632
ceo,1.0,ceo,C000
gordy,7.0,gordy,G3Y0
motowns,2.0,motowns,MW52
annual,1.0,annual,A400
christmas,32.0,christmas,C623
party,1.0,party,P3Y0
playing,25.0,playing,PY52
piano,2.0,piano,P000
singing,4.0,singing,S252
mr,5.0,mr,M000
sandman,1.0,sandman,S350
impressed,1.0,impressed,I623
working,29.0,working,W252
negotiation,1.0,negotiation,N350
deal,13.0,deal,D000
sign,7.0,sign,S500
young,1.0,young,Y200
singer,8.0,singer,S260
empire,7.0,empire,E600
agreed,1.0,agreed,A300
sell,7.0,sell,S400
interest,1.0,interest,I623
led,2.0,led,L000
presenting,10.0,presenting,P253
lucrative,2.0,lucrative,L631
month,10.0,month,M3H0
hed,1.0,hed,H000
record,3.0,record,R630
next,1.0,next,N300
meantime,7.0,meantime,M350
met,1.0,met,M000
fell,4.0,fell,F400
love,2.0,love,L000
sisters,9.0,sisters,S362
couple,9.0,couple,C400
begin,7.0,begin,B500
dating,2.0,dating,D520
marrying,6.0,marrying,M6Y5
within,4.0,within,WH50
yearshortly,1.0,yearshortly,Y2H6
clashed,4.0,clashed,C2H3
musical,1.0,musical,M240
direction,1.0,direction,D235
recording,14.0,recording,R635
rb,1.0,rb,R000
teenagers,4.0,teenagers,T262
admired,2.0,admired,A630
ray,2.0,ray,R000
charles,18.0,charles,C642
wanted,14.0,wanted,W300
adult,10.0,adult,A300
pop,7.0,pop,P000
standards,1.0,standards,S536
noted,1.0,noted,N300
bigger,2.0,bigger,B260
success,1.0,success,S200
seeing,7.0,seeing,S200
rather,15.0,rather,RH60
felt,16.0,felt,F300
could,39.0,could,C300
similar,2.0,similar,S460
admitted,7.0,admitted,A300
growing,1.0,growing,GW52
told,13.0,told,T300
dance,7.0,dance,D200
sit,14.0,sit,S000
stool,1.0,stool,S400
croon,1.0,croon,C500
shake,7.0,shake,S200
ass,1.0,ass,A000
onstage,2.0,onstage,O320
saying,13.0,saying,S520
voice,1.0,voice,V000
people,5.0,people,P400
attention,7.0,attention,A535
much,1.0,much,MH00
push,1.0,push,PH00
finally,14.0,finally,F4Y0
allowed,12.0,allowed,AW30
album,55.0,album,A500
compromise,6.0,compromise,C165
feel,6.0,feel,F000
vocals,3.0,vocals,V420
relaxed,7.0,relaxed,R230
tone,2.0,tone,T000
played,42.0,played,PY30
drums,1.0,drums,D520
oversaw,5.0,oversaw,O2W0
albums,6.0,albums,A520
production,25.0,production,P323
another,2.0,another,AH60
collaborator,2.0,collaborator,C416
cowriting,1.0,cowriting,C635
never,1.0,never,N600
let,5.0,let,L000
go,2.0,go,G000
shalubop,1.0,shalubop,S410
boyfriend,1.0,boyfriend,B165
recorded,18.0,recorded,R630
weeks,16.0,weeks,W200
june,1.0,june,J000
gordycomposed,1.0,gordycomposed,G3Y2
ballad,2.0,ballad,B430
conscience,7.0,conscience,C252
guide,12.0,guide,G000
extra,3.0,extra,E600
e,2.0,e,E000
last,2.0,last,L300
look,1.0,look,L000
professionalthe,1.0,professionalthe,P125
given,2.0,given,G500
upon,5.0,upon,U000
failed,12.0,failed,F300
become,2.0,become,B500
major,4.0,major,M600
regional,8.0,regional,R540
midwest,1.0,midwest,MW23
coast,15.0,coast,C300
singles,4.0,singles,S242
still,4.0,still,S400
smooth,3.0,smooth,S3H0
tenor,4.0,tenor,T600
changed,16.0,changed,C523
include,1.0,include,I430
gospel,16.0,gospel,G140
infections,13.0,infections,I235
helped,17.0,helped,H130
bring,6.0,bring,B520
stubborn,1.0,stubborn,S165
kind,1.0,kind,K300
fellow,1.0,fellow,F4W0
fledgling,2.0,fledgling,F324
operation,1.0,operation,O350
miracles,2.0,miracles,M242
marvelettes,1.0,marvelettes,M143
mary,1.0,mary,MY00
wells,1.0,wells,W420
successful,1.0,successful,S214
gayes,1.0,gayes,G200
ambitions,3.0,ambitions,A352
featuring,1.0,featuring,F652
covers,1.0,covers,C620
none,5.0,none,N000
resonated,2.0,resonated,R530
well,2.0,well,W400
audiences,6.0,audiences,A200
singers,1.0,singers,S262
grittier,1.0,grittier,G360
eod,5.0,eod,E000
search,25.0,search,S2H0
squadron,1.0,squadron,S365
regiment,4.0,regiment,R530
rlc,1.0,rlc,R200
unit,6.0,unit,U000
british,1.0,british,B32H
army,30.0,army,AY00
responsible,3.0,responsible,R152
explosive,5.0,explosive,E421
ordnance,6.0,ordnance,O520
disposal,5.0,disposal,D124
duties,2.0,duties,D200
northern,2.0,northern,N3H6
irelandthe,1.0,irelandthe,I53H
previously,20.0,previously,P124
titled,9.0,titled,T430
raoc,1.0,raoc,R000
royal,1.0,royal,R400
corps,2.0,corps,C120
rebadged,1.0,rebadged,R323
logistic,1.0,logistic,L232
april,1.0,april,A400
aldergrove,2.0,aldergrove,A626
flying,5.0,flying,FY52
station,1.0,station,S350
near,2.0,near,N000
antrim,2.0,antrim,A650
entire,1.0,entire,E600
province,6.0,province,P152
ireland,7.0,ireland,I530
honoured,4.0,honoured,H630
palace,5.0,palace,P200
barracks,1.0,barracks,B620
memorial,2.0,memorial,M640
today,13.0,today,TY00
remains,1.0,remains,R520
decorated,3.0,decorated,D630
equipped,3.0,equipped,E130
forefront,1.0,forefront,F165
developing,5.0,developing,D415
banner,1.0,banner,B560
running,1.0,running,R520
detachments,3.0,detachments,D2H5
locationsas,1.0,locationsas,L352
oct,3.0,oct,O000
sqn,1.0,sqn,S500
based,1.0,based,B300
belfast,1.0,belfast,B123
rcz,2.0,rcz,R200
reformed,3.0,reformed,R653
faithbased,1.0,faithbased,FH12
organization,1.0,organization,O523
faith,24.0,faith,FH00
centered,2.0,centered,C363
bible,3.0,bible,B400
relationship,12.0,relationship,R352
god,1.0,god,G000
christ,1.0,christ,C623
reformation,5.0,reformation,R653
stresses,2.0,stresses,S620
divine,1.0,divine,D500
grace,1.0,grace,G200
justification,2.0,justification,J312
accordingly,7.0,accordingly,A635
priesthood,5.0,priesthood,P23H
belongs,1.0,belongs,B520
every,3.0,every,EY00
believer,5.0,believer,B160
religious,7.0,religious,R200
hierarchy,4.0,hierarchy,H62H
therefore,2.0,therefore,T616
common,13.0,common,C500
person,1.0,person,P250
enjoy,2.0,enjoy,EY00
unhindered,1.0,unhindered,U536
word,1.0,word,W300
priestly,1.0,priestly,P234
authority,1.0,authority,A63Y
scripture,2.0,scripture,S613
sole,1.0,sole,S000
christian,6.0,christian,C623
continual,2.0,continual,C354
holistic,1.0,holistic,H232
revelations,2.0,revelations,R435
revealed,1.0,revealed,R430
church,26.0,church,C62H
godby,1.0,godby,G1Y0
congregations,2.0,congregations,C262
fellowships,2.0,fellowships,F4W2
continues,17.0,continues,C352
grow,1.0,grow,GW00
especially,11.0,especially,E24Y
urban,2.0,urban,U500
gweru,2.0,gweru,G600
kwekwe,1.0,kwekwe,K2W0
masvingo,2.0,masvingo,M152
harerenotable,1.0,harerenotable,H653
peoplerev,1.0,peoplerev,P461
louw,1.0,louw,L000
founding,1.0,founding,F352
minister,21.0,minister,M236
rev,9.0,rev,R000
h,12.0,h,H000
murray,1.0,murray,M6Y0
scottish,8.0,scottish,S32H
heritage,1.0,heritage,H320
initiated,5.0,initiated,I300
establishment,4.0,establishment,E142
theological,15.0,theological,T424
college,1.0,college,C420
ezra,1.0,ezra,E000
shumba,1.0,shumba,S510
trained,1.0,trained,T530
grenade,5.0,grenade,G530
launcher,4.0,launcher,L2H6
manufactured,1.0,manufactured,M123
romarm,1.0,romarm,R650
sa,1.0,sa,S000
technical,2.0,technical,TH52
military,24.0,military,M36Y
romania,4.0,romania,R500
firearmsrelated,1.0,firearmsrelated,F652
itconus,1.0,itconus,I520
wilsi,1.0,wilsi,W200
sea,16.0,sea,S000
snail,8.0,snail,S400
marine,2.0,marine,M500
gastropod,12.0,gastropod,G361
mollusk,5.0,mollusk,M420
conidae,1.0,conidae,C300
cone,2.0,cone,C000
snails,11.0,snails,S420
genus,1.0,genus,G200
conus,1.0,conus,C200
predatory,1.0,predatory,P36Y
venomous,3.0,venomous,V520
capable,1.0,capable,C140
stinging,1.0,stinging,S525
humans,3.0,humans,H520
handled,3.0,handled,H343
carefully,1.0,carefully,C14Y
allthe,1.0,allthe,A3H0
size,5.0,size,S000
shell,20.0,shell,S400
attains,1.0,attains,A520
occurs,4.0,occurs,O620
red,9.0,red,R000
seathis,1.0,seathis,SH20
conusrelated,1.0,conusrelated,C264
itborn,1.0,itborn,I650
jacmel,2.0,jacmel,J540
moravia,3.0,moravia,M100
studied,10.0,studied,S300
petit,2.0,petit,P300
saintmartial,1.0,saintmartial,S356
teacher,6.0,teacher,TH60
founded,1.0,founded,F300
periodicals,1.0,periodicals,P324
shortlived,2.0,shortlived,S634
la,12.0,la,L000
plume,1.0,plume,P500
published,2.0,published,P42H
le,9.0,le,L000
temps,2.0,temps,T120
started,21.0,started,S630
daily,1.0,daily,DY00
paper,2.0,paper,P600
elected,42.0,elected,E300
officer,10.0,officer,O260
haitian,1.0,haitian,H500
academy,15.0,academy,A5Y0
arts,8.0,arts,A200
heinrich,1.0,heinrich,H62H
heine,1.0,heine,H000
translated,1.0,translated,T524
verse,11.0,verse,V200
german,2.0,german,G500
poet,4.0,poet,P000
prose,8.0,prose,P200
translation,3.0,translation,T524
influenced,1.0,influenced,I452
edmond,1.0,edmond,E530
rostands,1.0,rostands,R353
play,21.0,play,PY00
cyrano,2.0,cyrano,C650
bergerache,1.0,bergerache,B262
career,17.0,career,C600
public,1.0,public,P420
appointed,28.0,appointed,A530
plenipotentiary,4.0,plenipotentiary,P513
washington,10.0,washington,WH52
dc,1.0,dc,D000
occupation,1.0,occupation,O135
haiti,1.0,haiti,H000
senator,13.0,senator,S360
republic,4.0,republic,R142
presidency,1.0,presidency,P235
vincentmoravia,1.0,vincentmoravia,V253
jailed,6.0,jailed,J300
vincent,1.0,vincent,V253
government,1.0,government,G653
opposed,1.0,opposed,O230
american,3.0,american,A250
occupationsonnet,1.0,occupationsonnet,O135
sur,4.0,sur,S000
deux,1.0,deux,D000
clous,1.0,clous,C200
poetrythis,1.0,poetrythis,P6Y3
writer,14.0,writer,W360
playwright,9.0,playwright,PYW6
politician,4.0,politician,P325
diplomatrelated,2.0,diplomatrelated,D453
roman,12.0,roman,R500
salute,98.0,salute,S300
alternatively,3.0,alternatively,A653
fascist,21.0,fascist,F230
nazi,1.0,nazi,N000
gesture,28.0,gesture,G360
right,3.0,right,RH30
arm,7.0,arm,A000
fully,1.0,fully,F4Y0
extended,10.0,extended,E530
forward,8.0,forward,FW63
fingers,1.0,fingers,F262
touching,5.0,touching,TH52
versions,7.0,versions,V252
raised,7.0,raised,R300
upward,5.0,upward,U630
angle,1.0,angle,A400
others,2.0,others,O620
parallel,1.0,parallel,P400
ground,1.0,ground,G530
contemporary,7.0,contemporary,C351
times,1.0,times,T200
former,2.0,former,F560
commonly,1.0,commonly,C54Y
symbol,26.0,symbol,S514
fascism,6.0,fascism,F250
popularly,12.0,popularly,P464
attributed,3.0,attributed,A613
ancient,1.0,ancient,A530
text,1.0,text,T300
gives,23.0,gives,G200
description,1.0,description,D261
works,1.0,works,W200
art,11.0,art,A000
display,5.0,display,D14Y
salutational,2.0,salutational,S354
gestures,1.0,gestures,G362
bear,1.0,bear,B000
resemblance,1.0,resemblance,R514
modern,1.0,modern,M650
jacqueslouis,3.0,jacqueslouis,J242
davids,1.0,davids,D320
painting,3.0,painting,P352
oath,24.0,oath,O000
horatii,6.0,horatii,H300
association,2.0,association,A235
republican,2.0,republican,R142
imperial,6.0,imperial,I640
culture,10.0,culture,C360
emerged,14.0,emerged,E230
identification,1.0,identification,I312
neoclassic,1.0,neoclassic,N420
artworks,2.0,artworks,AW62
pledge,1.0,pledge,P320
allegiance,2.0,allegiance,A252
bellamy,8.0,bellamy,B45Y
created,20.0,created,C300
francis,8.0,francis,F520
elaborated,3.0,elaborated,E630
popular,20.0,popular,P460
late,1.0,late,L000
centuries,1.0,centuries,C362
plays,14.0,plays,PY20
films,25.0,films,F520
portrayed,1.0,portrayed,P36Y
included,1.0,included,I430
italian,12.0,italian,I500
film,4.0,film,F500
cabiria,5.0,cabiria,C600
whose,11.0,whose,W200
intertitles,2.0,intertitles,I634
written,2.0,written,W350
nationalist,27.0,nationalist,N542
gabriele,3.0,gabriele,G640
dannunzio,6.0,dannunzio,D520
adopted,8.0,adopted,A300
cinematographically,1.0,cinematographically,C532
depicted,1.0,depicted,D230
neoimperial,2.0,neoimperial,N164
ritual,17.0,ritual,R400
fiumethrough,1.0,fiumethrough,F3H6
dannunzios,1.0,dannunzios,D520
influence,4.0,influence,I452
rising,4.0,rising,R520
movements,2.0,movements,M532
symbolic,9.0,symbolic,S514
repertoire,8.0,repertoire,R636
gradually,2.0,gradually,G34Y
regime,2.0,regime,R500
compulsory,7.0,compulsory,C142
